"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"AP"	"deliverymethod"
"1249"	"Olanzapine 10mg tablets"	"Olanzapine"	"10mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"1314"	"Thioridazine 50mg tablets"	"Thioridazine"	"50mg"	"Tablet"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"1316"	"Stelazine 5mg tablets (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
"1318"	"Stelazine 1mg tablets (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"1mg"	"Tablet"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
"1319"	"Clopixol 10mg tablets (Lundbeck Ltd)"	"Zuclopenthixol"	"10mg"	"Tablet"	"Oral"	"04020101"	"Zuclopenthixol"	"Oral"
"1320"	"Risperidone 1mg tablets"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"1321"	"Risperidone 2mg tablets"	"Risperidone"	"2mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"1434"	"Prochlorperazine 5mg suppositories"	"Prochlorperazine"	"5mg"	"Suppository"	"Rectal"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"1733"	"Flupentixol decanoate 20mg/ml Injection"	"Flupentixol"	"20mg/ml"	"Injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"1735"	"Stelazine 10mg Spansules (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"10mg"	"Modified-release capsule"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"1857"	"Trifluoperazine 1mg tablets"	"Trifluoperazine"	"1mg"	"Tablet"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
"1990"	"Prochlorperazine 25mg suppositories"	"Prochlorperazine"	"25mg"	"Suppository"	"Rectal"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"2094"	"Haldol decanoate 50mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)"	"Haloperidol"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04020200"	"Haloperidol"	"Injection"
"2135"	"Sulpiride 200mg tablets"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"2136"	"Depixol 20mg/ml Injection (Lundbeck Ltd)"	"Flupentixol"	"20mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Flupentixol"	"Injection"
"2154"	"Chlorpromazine 100mg tablets"	"Chlorpromazine"	"100mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"2155"	"Depixol -conc 100mg/ml Injection (Lundbeck Ltd)"	"Flupentixol"	"100mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Flupentixol"	"Injection"
"2156"	"Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"2157"	"Perphenazine 4mg tablets"	"Perphenazine"	"4mg"	"Tablet"	"Oral"	"04020101/04060000"	"Perphenazine"	"Oral"
"2275"	"Flupentixol 500microgram tablets"	"Flupentixol"	"500microgram"	"Tablet"	"Oral"	"04030400"	"Flupentixol"	"Oral"
"2276"	"Flupentixol 40mg/2ml solution for injection ampoules"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"2419"	"Haloperidol 500microgram capsules"	"Haloperidol"	"500microgram"	"Capsule"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"2474"	"Chlorpromazine 10mg tablets"	"Chlorpromazine"	"10mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"2489"	"Pimozide 2mg tablets"	"Pimozide"	"2mg"	"Tablet"	"Oral"	"00000000"	"Pimozide"	"Oral"
"2502"	"Melleril 50mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"50mg"	"Tablet"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"2540"	"Benperidol 250microgram tablets"	"Benperidol"	"250microgram"	"Tablet"	"Oral"	"04020101"	"Benperidol"	"Oral"
"2620"	"Haloperidol 1mg/ml Oral solution"	"Haloperidol"	"1mg/ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"2621"	"Haloperidol 5mg tablets"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"2656"	"Olanzapine 2.5mg tablets"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"2713"	"Stelazine 2mg Spansules (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"2mg"	"Modified-release capsule"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"2714"	"Trifluoperazine 10mg modified-release capsules"	"Trifluoperazine"	"10mg"	"Modified-release capsule"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"2786"	"Risperidone 6mg tablets"	"Risperidone"	"6mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"2787"	"Risperidone 4mg tablets"	"Risperidone"	"4mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"2801"	"Thioridazine 10mg/5ml Oral solution"	"Thioridazine"	"10mg/5ml"	"Oral Solution"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"2814"	"Largactil 25mg Tablet (Hawgreen Ltd)"	"Chlorpromazine"	"25mg"	"Tablet"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"2936"	"Motival 10mg/500microgram tablets (Sanofi)"	"Fluphenazine"	"500microgram + 10mg"	"Tablet"	"Oral"	"00000000"	"Fluphenazine"	"Oral"
"2972"	"Promazine 25mg tablets"	"Promazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Promazine"	"Oral"
"3021"	"Thioridazine 100mg tablets"	"Thioridazine"	"100mg"	"Tablet"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"3024"	"PROCHLORPERAZINE MALEATE 3 MG TAB"	"Prochlorperazine"	"3 MG"	"Tablet"	"Oral"	"00000000"	"Prochlorperazine"	"Oral"
"3197"	"Promazine 100mg tablet"	"Promazine"	"100mg"	"Tablets"	"Oral"	"04020100"	"Promazine"	"Oral"
"3226"	"Sparine 50mg Tablet (Wyeth Pharmaceuticals)"	"Promazine"	"50mg"	"Tablet"	"Oral"	"04020100"	"Promazine"	"Oral"
"3227"	"Sparine 50mg/5ml Liquid (Wyeth Pharmaceuticals)"	"Promazine"	"50mg/5ml"	"Liquid"	"Oral"	"04020100"	"Promazine"	"Oral"
"3228"	"Promazine 50mg tablets"	"Promazine"	"50mg"	"Tablet"	"Oral"	"04020101"	"Promazine"	"Oral"
"3233"	"Haloperidol 2mg/ml sugar free Liquid"	"Haloperidol"	"2mg/ml"	"Liquid"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"3246"	"Stemetil 12.5mg/ml Injection (Castlemead Healthcare Ltd)"	"Prochlorperazine"	"12.5mg/ml"	"Injection"	"Intramuscular Deep Injection"	"04020100/40120000"	"Prochlorperazine"	"Injection"
"3281"	"Olanzapine 5mg tablets"	"Olanzapine"	"5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"3348"	"Chlorpromazine 50mg tablets"	"Chlorpromazine"	"50mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"3579"	"Melleril 25mg/5ml oral suspension (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"5mg/1ml"	"Oral suspension"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"3605"	"Thioridazine 25mg/5ml oral solution"	"Thioridazine"	"5mg/1ml"	"Oral solution"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"3671"	"Haloperidol 500microgram tablets"	"Haloperidol"	"500microgram"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"3738"	"Stemetil Eff 5mg sachets (Sanofi)"	"Prochlorperazine"	"5mg"	"Effervescent granules"	"Oral"	"00000000"	"Prochlorperazine"	"Oral"
"3772"	"Largactil 50mg Tablet (Hawgreen Ltd)"	"Chlorpromazine"	"50mg"	"Tablet"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"3773"	"Droperidol 10mg tablets"	"Droperidol"	"10mg"	"Tablets"	"Oral"	"04020100/15010401"	"Droperidol"	"Oral"
"3774"	"Clopixol 200mg/ml Oily injection (Lundbeck Ltd)"	"Zuclopenthixol"	"200mg/ml"	"Oily Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020100/04020200"	"Zuclopenthixol"	"Injection"
"3775"	"Zuclopenthixol decanoate 200mg/ml oily injection"	"Zuclopenthixol"	"200mg/ml"	"Oily Injection"	"Intramuscular"	"04020100/04020200"	"Zuclopenthixol"	"Injection"
"3926"	"Modecate 25mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Fluphenazine"	"25mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Fluphenazine"	"Injection"
"3932"	"Prochlorperazine 25mg tablets"	"Prochlorperazine"	"25mg"	"Tablet"	"Oral"	"00000000"	"Prochlorperazine"	"Oral"
"3937"	"Trifluoperazine 15mg modified-release capsules"	"Trifluoperazine"	"15mg"	"Modified-release capsule"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"3951"	"Fluanxol 1mg tablets (Lundbeck Ltd)"	"Flupentixol"	"1mg"	"Tablet"	"Oral"	"04030400"	"Flupentixol"	"Oral"
"3952"	"Chlorpromazine 25mg/5ml oral solution"	"Chlorpromazine"	"5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"3953"	"Fluanxol 500microgram tablets (Lundbeck Ltd)"	"Flupentixol"	"500microgram"	"Tablet"	"Oral"	"04030400"	"Flupentixol"	"Oral"
"4232"	"Nozinan 25mg tablets (Sanofi)"	"Levomepromazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Levomepromazine"	"Oral"
"4234"	"Haloperidol 5mg/ml Injection"	"Haloperidol"	"5mg/ml"	"Injection"	"Subcutaneous Infusion"	"04020100/40120000"	"Haloperidol"	"Injection"
"4401"	"Prochlorperazine maleate 10mg modified release capsule"	"Prochlorperazine"	"10mg"	"Modified Release Capsules"	"Oral"	"04020100/40120000"	"Prochlorperazine"	"Oral"
"4434"	"Chlorpromazine 50mg/5ml oral solution"	"Chlorpromazine"	"10mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"4442"	"Nozinan 25mg/1ml solution for injection ampoules (Sanofi)"	"Levomepromazine"	"25mg/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"04020101"	"Levomepromazine"	"Injection"
"4524"	"Orap 2mg tablets (Janssen-Cilag Ltd)"	"Pimozide"	"2mg"	"Tablet"	"Oral"	"00000000"	"Pimozide"	"Oral"
"4673"	"Melleril 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"5mg/1ml"	"Oral solution"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"4769"	"Prochlorperazine 3mg buccal tablets"	"Prochlorperazine"	"3mg"	"Buccal tablet"	"Buccal"	"04065400"	"Prochlorperazine"	"Oral"
"4820"	"Risperdal 1mg tablets (Janssen-Cilag Ltd)"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"4876"	"Amisulpride 50mg tablets"	"Amisulpride"	"50mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"4992"	"Solian 200 tablets (Sanofi)"	"Amisulpride"	"200mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"5014"	"Levomepromazine 25mg tablets"	"Levomepromazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Levomepromazine"	"Oral"
"5039"	"Quetiapine 100mg tablets"	"Quetiapine"	"100mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"5040"	"Quetiapine 150mg tablets"	"Quetiapine"	"150mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"5071"	"Amisulpride 200mg tablets"	"Amisulpride"	"200mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"5192"	"Haloperidol 1mg/5ml sugar free Oral solution"	"Haloperidol"	"1mg/5ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"5212"	"Fluphenazine 1mg tablets"	"Fluphenazine"	"1mg"	"Tablet"	"Oral"	"04020100"	"Fluphenazine"	"Oral"
"5219"	"Risperidone 3mg tablets"	"Risperidone"	"3mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"5262"	"Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd)"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Risperidone"	"Oral"
"5283"	"Quetiapine 25mg tablets"	"Quetiapine"	"25mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"5298"	"Fluphenazine 5mg tablets"	"Fluphenazine"	"5mg"	"Tablet"	"Oral"	"00000000"	"Fluphenazine"	"Oral"
"5497"	"Stemetil 25mg tablets (Sanofi)"	"Prochlorperazine"	"25mg"	"Tablet"	"Oral"	"00000000"	"Prochlorperazine"	"Oral"
"5510"	"Prochlorperazine mesilate 12.5mg/ml injection"	"Prochlorperazine"	"12.5mg/ml"	"Injection"	"Intramuscular"	"04020100/40120000"	"Prochlorperazine"	"Injection"
"5545"	"Serenace 500microgram capsules (Teva UK Ltd)"	"Haloperidol"	"500microgram"	"Capsule"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"5597"	"Moditen 1mg tablets (Sanofi)"	"Fluphenazine"	"1mg"	"Tablet"	"Oral"	"04020100"	"Fluphenazine"	"Oral"
"5653"	"Olanzapine 7.5mg tablets"	"Olanzapine"	"7.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"5707"	"Flupentixol 3mg tablets"	"Flupentixol"	"3mg"	"Tablet"	"Oral"	"04020101"	"Flupentixol"	"Oral"
"5712"	"Depixol 3mg tablets (Lundbeck Ltd)"	"Flupentixol"	"3mg"	"Tablet"	"Oral"	"04020101"	"Flupentixol"	"Oral"
"5762"	"Clopixol acuphase 50mg/ml Oily injection (Lundbeck Ltd)"	"Zuclopenthixol"	"50mg/ml"	"Oily Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020100"	"Zuclopenthixol"	"Injection"
"5821"	"Pimozide 4mg tablets"	"Pimozide"	"4mg"	"Tablet"	"Oral"	"04020101"	"Pimozide"	"Oral"
"5927"	"Amisulpride 400mg tablets"	"Amisulpride"	"400mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"5971"	"Buccastem M 3mg tablets (Alliance Pharmaceuticals Ltd)"	"Prochlorperazine"	"3mg"	"Buccal tablet"	"Buccal"	"04065400"	"Prochlorperazine"	"Oral"
"6023"	"Olanzapine 10mg Orodispersible tablet"	"Olanzapine"	"10mg"	"Orodispersible Tablet"	"Oral"	"04020100"	"Olanzapine"	"Oral"
"6036"	"Prochlorperazine 5mg/5ml oral solution"	"Prochlorperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"6064"	"Levomepromazine 25mg/1ml solution for injection ampoules"	"Levomepromazine"	"25mg/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"04020101"	"Levomepromazine"	"Injection"
"6109"	"Solian 400 tablets (Sanofi)"	"Amisulpride"	"400mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"6134"	"Dozic 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Haloperidol"	"1mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"6373"	"Risperidone 1mg orodispersible tablets sugar free"	"Risperidone"	"1mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"6412"	"Olanzapine 5mg Orodispersible tablet"	"Olanzapine"	"5mg"	"Orodispersible Tablet"	"Oral"	"04020100"	"Olanzapine"	"Oral"
"6443"	"Promazine 25mg/5ml oral solution"	"Promazine"	"5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Promazine"	"Oral"
"6482"	"Amisulpride 100mg/ml oral solution sugar free"	"Amisulpride"	"100mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"6523"	"Haldol 5mg/ml Injection (Janssen-Cilag Ltd)"	"Haloperidol"	"5mg/ml"	"Injection"	"Subcutaneous Infusion"	"04020100/40120000"	"Haloperidol"	"Injection"
"6524"	"Amisulpride 100mg tablets"	"Amisulpride"	"100mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"6561"	"Aripiprazole 10mg tablets"	"Aripiprazole"	"10mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"6573"	"Aripiprazole 15mg tablets"	"Aripiprazole"	"15mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"6838"	"Olanzapine 15mg Orodispersible tablet"	"Olanzapine"	"15mg"	"Orodispersible Tablet"	"Oral"	"04020100"	"Olanzapine"	"Oral"
"6850"	"Olanzapine 15mg tablets"	"Olanzapine"	"15mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"6864"	"Seroquel 200mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"200mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"7039"	"Quetiapine 300mg tablets"	"Quetiapine"	"300mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"7382"	"Risperidone 500microgram orodispersible tablets sugar free"	"Risperidone"	"500microgram"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"7390"	"Levomepromazine 6mg tablets"	"Levomepromazine"	"6mg"	"Tablet"	"Oral"	"04020101"	"Levomepromazine"	"Oral"
"7436"	"Serenace 5mg/1ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04020101"	"Haloperidol"	"Injection"
"7479"	"Stelazine 1mg/ml Injection (Goldshield Pharmaceuticals Ltd)"	"Trifluoperazine"	"1mg/ml"	"Injection"	"Intramuscular"	"04020100/40120000"	"Trifluoperazine"	"Injection"
"7493"	"Largactil 100mg Tablet (Hawgreen Ltd)"	"Chlorpromazine"	"100mg"	"Tablet"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"7514"	"Largactil 50mg/2ml solution for injection ampoules (Sanofi)"	"Chlorpromazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Chlorpromazine"	"Injection"
"7593"	"Stemetil 5mg/5ml Oral solution (Castlemead Healthcare Ltd)"	"Prochlorperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"04020100/40120000"	"Prochlorperazine"	"Oral"
"7833"	"Neulactil 2.5mg Tablet (JHC Healthcare Ltd)"	"Pericyazine"	"2.5mg"	"Tablet"	"Oral"	"04020100"	"Pericyazine"	"Oral"
"7834"	"Pericyazine 2.5mg tablets"	"Pericyazine"	"2.5mg"	"Tablet"	"Oral"	"04020101"	"Pericyazine"	"Oral"
"7918"	"Moditen 2.5mg tablets (Sanofi)"	"Fluphenazine"	"2.5mg"	"Tablet"	"Oral"	"00000000"	"Fluphenazine"	"Oral"
"7919"	"Fentazin 4mg tablets (AMCo)"	"Perphenazine"	"4mg"	"Tablet"	"Oral"	"04020101"	"Perphenazine"	"Oral"
"7985"	"STEMETIL 2.5 MG SUP"	"Prochlorperazine"	"2.5 MG"	"Suppository"	"Rectal"	"00000000"	"Prochlorperazine"	"Oral"
"8031"	"Neulactil 10mg Tablet (JHC Healthcare Ltd)"	"Pericyazine"	"10mg"	"Tablet"	"Oral"	"04020100"	"Pericyazine"	"Oral"
"8032"	"Pericyazine 10mg tablets"	"Pericyazine"	"10mg"	"Tablet"	"Oral"	"04020101"	"Pericyazine"	"Oral"
"8042"	"Stelazine 15mg Spansules (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"15mg"	"Modified-release capsule"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"8043"	"MODECATE 12.5 MG INJ"	"Fluphenazine"	"12.5 MG"	"Solution for injection"	"Intramuscular"	"00000000"	"Fluphenazine"	"Injection"
"8044"	"Redeptin 2mg/ml Injection (Janssen-Cilag Ltd)"	"Fluspirilene"	"2mg/ml"	"Injection"	"Intramuscular"	"04020200"	"Fluspirilene"	"Injection"
"8045"	"CHLORPROMAZINE 200 MG TAB"	"Chlorpromazine"	"200 MG"	"Tablet"	"Oral"	"00000000"	"Chlorpromazine"	"Oral"
"8046"	"Clozapine 25mg tablets"	"Clozapine"	"25mg"	"Tablet"	"Oral"	"04020102"	"Clozapine"	"Oral"
"8047"	"Clozapine 100mg tablets"	"Clozapine"	"100mg"	"Tablet"	"Oral"	"04020102"	"Clozapine"	"Oral"
"8129"	"Haloperidol 20mg/2ml solution for injection ampoules"	"Haloperidol"	"10mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"00000000"	"Haloperidol"	"Injection"
"8136"	"HALOPERIDOL 5 MG LIQ"	"Haloperidol"	"5 MG"	"Oral solution"	"Oral"	"00000000"	"Haloperidol"	"Oral"
"8153"	"Serenace 2mg/ml liquid (Teva UK Ltd)"	"Haloperidol"	"2mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"8311"	"Chlorpromazine 25mg/ml injection"	"Chlorpromazine"	"25mg/ml"	"Injection"	"Intramuscular"	"04020100/40120000"	"Chlorpromazine"	"Injection"
"8377"	"Fluphenazine 2.5mg tablets"	"Fluphenazine"	"2.5mg"	"Tablet"	"Oral"	"00000000"	"Fluphenazine"	"Oral"
"8445"	"Stelabid Tablet (GlaxoSmithKline Consumer Healthcare)"	"Trifluoperazine"	NA	"Tablet"	"Oral"	"01020100/04020100"	"Trifluoperazine"	"Oral"
"8506"	"Chlorpromazine 100mg suppository"	"Chlorpromazine"	"100mg"	"Suppository"	"Rectal"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"8519"	"Chlorpromazine 100mg/5ml oral solution"	"Chlorpromazine"	"20mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"8537"	"Trifluoperazine 1mg/ml Injection"	"Trifluoperazine"	"1mg/ml"	"Injection"	"Intramuscular"	"04020100/40120000"	"Trifluoperazine"	"Injection"
"8637"	"Pimozide 10mg tablet"	"Pimozide"	"10mg"	"Tablets"	"Oral"	"04020100"	"Pimozide"	"Oral"
"8689"	"Vertigon spansule 10 10mg Spansule (GlaxoSmithKline Consumer Healthcare)"	"Prochlorperazine"	"10mg"	"Spansule"	"Oral"	"04020100/40120000"	"Prochlorperazine"	"Oral"
"8712"	"Flupentixol decanoate 100mg/ml Injection"	"Flupentixol"	"100mg/ml"	"Injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"8771"	"Largactil 10mg Tablet (Hawgreen Ltd)"	"Chlorpromazine"	"10mg"	"Tablet"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"8774"	"Melleril 100mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"100mg"	"Tablet"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"8775"	"STELAZINE TAB"	"Trifluoperazine"	NA	"Tablet"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
