"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"AP"	"deliverymethod"
"276041000033113"	"Clopixol 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"200.000mg/1.000ml"	"4020200"	"Zuclopenthixol"	"Injection"
"276141000033112"	"Clopixol Conc 500mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"500.000mg/1.000ml"	"4020200"	"Zuclopenthixol"	"Injection"
"284941000033113"	"Clozaril 25mg tablets"	"Tablet"	"Oral"	"Clozapine"	"25.000mg"	"4020100"	"Clozapine"	"Oral"
"285041000033113"	"Clozaril 100mg tablets"	"Tablet"	"Oral"	"Clozapine"	"100.000mg"	"4020100"	"Clozapine"	"Oral"
"286941000033115"	"Clopixol 10mg tablets"	"Tablet"	"Oral"	"Zuclopenthixol"	"10.000mg"	"4020100"	"Zuclopenthixol"	"Oral"
"287041000033119"	"Clopixol 2mg tablets"	"Tablet"	"Oral"	"Zuclopenthixol"	"2.000mg"	"4020100"	"Zuclopenthixol"	"Oral"
"287141000033115"	"Clopixol 25mg tablets"	"Tablet"	"Oral"	"Zuclopenthixol"	"25.000mg"	"4020100"	"Zuclopenthixol"	"Oral"
"287541000033112"	"Clozapine 100mg tablets"	"Tablet"	"Oral"	"Clozapine"	"100.000mg"	"4020100"	"Clozapine"	"Oral"
"287641000033113"	"Clozapine 25mg tablets"	"Tablet"	"Oral"	"Clozapine"	"25.000mg"	"4020100"	"Clozapine"	"Oral"
"419941000033113"	"Depixol Low Volume 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200.000mg/1.000ml"	"4020200"	"Flupentixol"	"Injection"
"420041000033111"	"Depixol Injection 200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200 mg/10 ml"	NA	"Flupentixol"	"Injection"
"420141000033110"	"Depixol 40mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	"4020200"	"Flupentixol"	"Injection"
"420241000033115"	"Depixol Injection (syringe) 20 mg/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20 mg/1 ml"	NA	"Flupentixol"	"Injection"
"420341000033113"	"Depixol Injection (syringe) 40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"40 mg/2 ml"	NA	"Flupentixol"	"Injection"
"420441000033119"	"Depixol Conc 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	"4020200"	"Flupentixol"	"Injection"
"420541000033118"	"Depixol Conc. Injection 500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"500 mg/5 ml"	NA	"Flupentixol"	"Injection"
"422941000033113"	"Depixol 20mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	"4020100"	"Flupentixol"	"Injection"
"423041000033115"	"Depixol Conc 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	"4020200"	"Flupentixol"	"Injection"
"431741000033118"	"Depixol 3mg tablets"	"Tablet"	"Oral"	"Flupentixol"	"3.000mg"	"4020100"	"Flupentixol"	"Oral"
"476541000033119"	"Dozic 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	"4090300"	"Haloperidol"	"Oral"
"476641000033118"	"Dozic Liquid 2mg/ml"	NA	NA	"Haloperidol"	"2mg/ml"	NA	"Haloperidol"	"Indeterminate"
"479841000033112"	"Dolmatil 400mg tablets"	"Tablet"	"Oral"	"Sulpiride"	"400.000mg"	"4020100"	"Sulpiride"	"Oral"
"480941000033116"	"Dolmatil 200mg tablets"	"Tablet"	"Oral"	"Sulpiride"	"200.000mg"	"4020100"	"Sulpiride"	"Oral"
"483141000033112"	"Droperidol Injection 5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	"5mg/ml"	NA	"Droperidol"	"Injection"
"483341000033110"	"Droleptan Injection 5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	"5mg/ml"	NA	"Droperidol"	"Injection"
"483541000033115"	"Droperidol Liquid 1mg/ml"	NA	NA	"Droperidol"	"1mg/ml"	NA	"Droperidol"	"Indeterminate"
"483641000033119"	"Droleptan Liquid 1mg/ml"	NA	NA	"Droperidol"	"1mg/ml"	NA	"Droperidol"	"Indeterminate"
"484641000033117"	"Droleptan Tablets 10 mg"	"Tablet"	"Oral"	"Droperidol"	"10 mg"	NA	"Droperidol"	"Oral"
"485041000033112"	"Droperidol Tablets 10 mg"	"Tablet"	"Oral"	"Droperidol"	"10 mg"	NA	"Droperidol"	"Oral"
"567141000033111"	"Fentazin Injection 5 mg/ml"	"Solution for injection"	"Intramuscular"	"Perphenazine"	"5 mg/ml"	NA	"Perphenazine"	"Injection"
"570941000033117"	"Fentazin 2mg tablets"	"Tablet"	"Oral"	"Perphenazine"	"2.000mg"	"4060000"	"Perphenazine"	"Oral"
"571041000033110"	"Fentazin 4mg tablets"	"Tablet"	"Oral"	"Perphenazine"	"4.000mg"	"4060000"	"Perphenazine"	"Oral"
"571141000033114"	"Fentazin Tablets 8 mg"	"Tablet"	"Oral"	"Perphenazine"	"8 mg"	NA	"Perphenazine"	"Oral"
"582041000033112"	"Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"	"Injection"
"582141000033111"	"Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"	"Injection"
"584641000033111"	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"584741000033119"	"Fluphenazine Enanthate Injection 25 mg/ml"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25 mg/ml"	NA	"Fluphenazine"	"Injection"
"584841000033112"	"Fluspirilene Injection 2 mg/ ml"	"Solution for injection"	"Intramuscular"	"Fluspirilene"	"2 mg/ ml"	NA	"Fluspirilene"	"Injection"
"585041000033116"	"Flupenthixol Decanoate Injection 200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200 mg/10 ml"	NA	"Flupentixol"	"Injection"
"585241000033112"	"Flupenthixol Decanoate Injection (syringe) 20 ml/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20 ml/1 ml"	NA	"Flupentixol"	"Injection"
"585341000033119"	"Flupenthixol Decanoate Injection (syringe) 40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"40 mg/2 ml"	NA	"Flupentixol"	"Injection"
"585541000033114"	"Flupenthixol Decanoate Injection 500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"500 mg/5 ml"	NA	"Flupentixol"	"Injection"
"586641000033119"	"Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"586741000033111"	"Fluphenazine decanoate 250mg/10ml solution for injection vials"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"	"Injection"
"586841000033118"	"Fluphenazine decanoate 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"586941000033114"	"Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"587641000033116"	"Flupenthixol Decanoate Injection 100 mg/1 ml ampoule"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100 mg/1 ml"	NA	"Flupentixol"	"Injection"
"587741000033113"	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"593441000033111"	"Fluanxol 1mg tablets"	"Tablet"	"Oral"	"Flupentixol"	"1.000mg"	"4030400"	"Flupentixol"	"Oral"
"593541000033112"	"Fluanxol 500microgram tablets"	"Tablet"	"Oral"	"Flupentixol"	"500.000microgram"	"4030400"	"Flupentixol"	"Oral"
"595441000033112"	"Fluphenazine 1mg tablets"	"Tablet"	"Oral"	"Fluphenazine"	"1.000mg"	"4020100"	"Fluphenazine"	"Oral"
"595641000033114"	"Fluphenazine 2.5mg tablets"	"Tablet"	"Oral"	"Fluphenazine"	"2.500mg"	NA	"Fluphenazine"	"Oral"
"595741000033117"	"Fluphenazine 5mg tablets"	"Tablet"	"Oral"	"Fluphenazine"	"5.000mg"	NA	"Fluphenazine"	"Oral"
"658341000033110"	"Haloperidol 500microgram capsules"	"Capsule"	"Oral"	"Haloperidol"	"500.000microgram"	"4090300"	"Haloperidol"	"Oral"
"659241000033113"	"Haloperidol Elixir 2 mg/5 ml"	NA	NA	"Haloperidol"	"2 mg/5 ml"	NA	"Haloperidol"	"Indeterminate"
"659441000033114"	"Haldol Decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"100.000mg/1.000ml"	"4020200"	"Haloperidol"	"Injection"
"659541000033110"	"Haldol Decanoate 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"50.000mg/1.000ml"	"4020100"	"Haloperidol"	"Injection"
"659641000033111"	"Haloperidol 20mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular/ Intravenous"	"Haloperidol"	"10.000mg/1.000ml"	NA	"Haloperidol"	"Injection"
"659741000033119"	"Haloperidol decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"100.000mg/1.000ml"	"4020200"	"Haloperidol"	"Injection"
"659841000033112"	"Haloperidol decanoate 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"50.000mg/1.000ml"	"4020200"	"Haloperidol"	"Injection"
"659941000033116"	"Haloperidol Injection 5 mg/ml"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"5 mg/ml"	NA	"Haloperidol"	"Injection"
"660041000033118"	"Haldol Injection 5 mg/ml"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"5 mg/ml"	NA	"Haloperidol"	"Injection"
"660341000033116"	"Haloperidol 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	"4090300"	"Haloperidol"	"Oral"
"660441000033110"	"Haloperidol Liquid 2mg/ml"	"Oral solution"	"Oral"	"Haloperidol"	"2mg/ml"	NA	"Haloperidol"	"Oral"
"661341000033112"	"Haloperidol 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"2.000mg/1.000ml"	"4090300"	"Haloperidol"	"Oral"
"661441000033118"	"Haloperidol Oral liquid conc. 10 mg/ml"	"Oral solution"	"Oral"	"Haloperidol"	"10 mg/ml"	NA	"Haloperidol"	"Oral"
"661541000033117"	"Haldol 2mg/ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"2.000mg/1.000ml"	"4090300"	"Haloperidol"	"Oral"
"661641000033116"	"Haldol Oral liquid conc. 10 mg/ml"	"Oral solution"	"Oral"	"Haloperidol"	"10 mg/ml"	NA	"Haloperidol"	"Oral"
"662341000033115"	"Haloperidol 1.5mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"1.500mg"	"4090300"	"Haloperidol"	"Oral"
"662441000033114"	"Haloperidol 20mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"20.000mg"	"4020100"	"Haloperidol"	"Oral"
"662541000033110"	"Haloperidol 5mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"5.000mg"	"4090300"	"Haloperidol"	"Oral"
"663241000033118"	"Haloperidol 10mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"10.000mg"	"4090300"	"Haloperidol"	"Oral"
"663341000033111"	"Haloperidol 500microgram tablets"	"Tablet"	"Oral"	"Haloperidol"	"500.000microgram"	"4090300"	"Haloperidol"	"Oral"
"663441000033117"	"Haldol 10mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"10.000mg"	NA	"Haloperidol"	"Oral"
"663541000033116"	"Haldol 5mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"5.000mg"	NA	"Haloperidol"	"Oral"
"757541000033111"	"Integrin 10mg capsules"	"Capsule"	"Oral"	"Oxypertine"	"10.000mg"	NA	"Oxypertine"	"Oral"
"769641000033110"	"Integrin Tablets 40 mg"	"Tablet"	"Oral"	"Oxypertine"	"40 mg"	NA	"Oxypertine"	"Oral"
"811041000033116"	"Largactil 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"25.000mg/1.000ml"	"4060000"	"Chlorpromazine"	"Injection"
"813341000033115"	"Largactil Suppositories 100 mg"	"Suppository"	"Rectal"	"Chlorpromazine"	"100 mg"	NA	"Chlorpromazine"	"Oral"
"813441000033114"	"Largactil Forte 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20.000mg/1.000ml"	NA	"Chlorpromazine"	"Oral"
"813741000033119"	"Largactil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Chlorpromazine"	"5.000mg/1.000ml"	NA	"Chlorpromazine"	"Oral"
"815741000033115"	"Largactil 10mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"10.000mg"	NA	"Chlorpromazine"	"Oral"
"815841000033113"	"Largactil 100mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"100.000mg"	NA	"Chlorpromazine"	"Oral"
"815941000033117"	"Largactil 25mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"25.000mg"	NA	"Chlorpromazine"	"Oral"
"816041000033110"	"Largactil 50mg tablets"	"Tablet"	"Oral"	"Chlorpromazine"	"50.000mg"	NA	"Chlorpromazine"	"Oral"
"840741000033115"	"Loxapine 10mg capsules"	"Capsule"	"Oral"	"Loxapine"	"10.000mg"	NA	"Loxapine"	"Oral"
"840841000033113"	"Loxapine 25mg capsules"	"Capsule"	"Oral"	"Loxapine"	"25.000mg"	NA	"Loxapine"	"Oral"
"840941000033117"	"Loxapine 50mg capsules"	"Capsule"	"Oral"	"Loxapine"	"50.000mg"	NA	"Loxapine"	"Oral"
"842041000033117"	"Loxapac 10mg capsules"	"Capsule"	"Oral"	"Loxapine"	"10.000mg"	NA	"Loxapine"	"Oral"
"842141000033118"	"Loxapac 25mg capsules"	"Capsule"	"Oral"	"Loxapine"	"25.000mg"	NA	"Loxapine"	"Oral"
"842241000033113"	"Loxapac 50mg capsules"	"Capsule"	"Oral"	"Loxapine"	"50.000mg"	NA	"Loxapine"	"Oral"
"892141000033114"	"Melleril 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Thioridazine"	"20.000mg/1.000ml"	NA	"Thioridazine"	"Oral"
"892241000033119"	"Melleril 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Thioridazine"	"5.000mg/1.000ml"	NA	"Thioridazine"	"Oral"
"893741000033115"	"Melleril 25mg/5ml syrup"	"Oral solution"	"Oral"	"Thioridazine"	"5.000mg/1.000ml"	NA	"Thioridazine"	"Oral"
"894141000033116"	"Melleril Syrup 3mg/10 ml"	"Oral solution"	"Oral"	"Thioridazine"	"3mg/10 ml"	NA	"Thioridazine"	"Oral"
"895841000033114"	"Melleril 10mg tablets"	"Tablet"	"Oral"	"Thioridazine"	"10.000mg"	NA	"Thioridazine"	"Oral"
"895941000033118"	"Melleril 100mg tablets"	"Tablet"	"Oral"	"Thioridazine"	"100.000mg"	NA	"Thioridazine"	"Oral"
"896041000033111"	"Melleril 25mg tablets"	"Tablet"	"Oral"	"Thioridazine"	"25.000mg"	NA	"Thioridazine"	"Oral"
"896141000033110"	"Melleril 50mg tablets"	"Tablet"	"Oral"	"Thioridazine"	"50.000mg"	NA	"Thioridazine"	"Oral"
"924241000033110"	"Modecate 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"	"Injection"
"924341000033117"	"Modecate 50mg/2ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"	"Injection"
"925341000033116"	"Modecate 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"925841000033113"	"Modecate 12.5mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"925941000033117"	"Modecate Concentrate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"926041000033110"	"Moditen Enanthate Injection 25 mg/ml"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25 mg/ml"	NA	"Fluphenazine"	"Injection"
"927741000033110"	"Modecate 250mg/10ml solution for injection vials"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"	"Injection"
"927841000033117"	"Modecate Concentrate 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"934841000033111"	"Modecate 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"4020200"	"Fluphenazine"	"Injection"
"935041000033115"	"Moditen 1mg tablets"	"Tablet"	"Oral"	"Fluphenazine"	"1.000mg"	"4020100"	"Fluphenazine"	"Oral"
"935141000033116"	"Moditen 2.5mg tablets"	"Tablet"	"Oral"	"Fluphenazine"	"2.500mg"	NA	"Fluphenazine"	"Oral"
"935241000033111"	"Moditen 5mg tablets"	"Tablet"	"Oral"	"Fluphenazine"	"5.000mg"	NA	"Fluphenazine"	"Oral"
"938941000033114"	"Motival 10mg/500microgram tablets"	"Tablet"	"Oral"	"Fluphenazine"	"500.000microgram + 10.000mg"	NA	"Fluphenazine"	"Oral"
"965041000033112"	"Neulactil Forte syrup"	"Oral solution"	"Oral"	"Pericyazine"	"2.000mg/1.000ml"	NA	"Pericyazine"	"Oral"
"965541000033119"	"Neulactil 10mg tablets"	"Tablet"	"Oral"	"Pericyazine"	"10.000mg"	NA	"Pericyazine"	"Oral"
"965641000033118"	"Neulactil 2.5mg tablets"	"Tablet"	"Oral"	"Pericyazine"	"2.500mg"	NA	"Pericyazine"	"Oral"
"965741000033110"	"Neulactil Tablets 25 mg"	"Tablet"	"Oral"	"Pericyazine"	"25 mg"	NA	"Pericyazine"	"Oral"
"981641000033117"	"Nozinan 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Levomepromazine"	"25.000mg/1.000ml"	"4020100"	"Levomepromazine"	"Injection"
"1003641000033113"	"Olanzapine 10mg tablets"	"Tablet"	"Oral"	"Olanzapine"	"10.000mg"	"4020100"	"Olanzapine"	"Oral"
"1003741000033116"	"Olanzapine 5mg tablets"	"Tablet"	"Oral"	"Olanzapine"	"5.000mg"	"4020100"	"Olanzapine"	"Oral"
"1003841000033114"	"Olanzapine 7.5mg tablets"	"Tablet"	"Oral"	"Olanzapine"	"7.500mg"	"4020100"	"Olanzapine"	"Oral"
"1016341000033111"	"Orap Tablets 10 mg"	"Tablet"	"Oral"	"Pimozide"	"10 mg"	NA	"Pimozide"	"Oral"
"1016441000033117"	"Orap 2mg tablets"	"Tablet"	"Oral"	"Pimozide"	"2.000mg"	NA	"Pimozide"	"Oral"
"1016541000033116"	"Orap 4mg tablets"	"Tablet"	"Oral"	"Pimozide"	"4.000mg"	"4020100"	"Pimozide"	"Oral"
"1022741000033116"	"Oxypertine 10mg capsules"	"Capsule"	"Oral"	"Oxypertine"	"10.000mg"	NA	"Oxypertine"	"Oral"
"1026941000033117"	"Oxypertine 40mg tablets"	"Tablet"	"Oral"	"Oxypertine"	"40.000mg"	NA	"Oxypertine"	"Oral"
"1052041000033118"	"Perphenazine Injection 5 mg/ml"	"Solution for injection"	"Intramuscular"	"Perphenazine"	"5 mg/ml"	NA	"Perphenazine"	"Injection"
"1063541000033113"	"Pericyazine 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Pericyazine"	"2.000mg/1.000ml"	"4020100"	"Pericyazine"	"Oral"
"1065141000033117"	"Perphenazine 2mg tablets"	"Tablet"	"Oral"	"Perphenazine"	"2.000mg"	"4060000"	"Perphenazine"	"Oral"
"1065241000033112"	"Perphenazine 4mg tablets"	"Tablet"	"Oral"	"Perphenazine"	"4.000mg"	"4060000"	"Perphenazine"	"Oral"
"1065341000033119"	"Perphenazine Tablets 8 mg"	"Tablet"	"Oral"	"Perphenazine"	"8 mg"	NA	"Perphenazine"	"Oral"
"1066741000033111"	"Pericyazine 10mg tablets"	"Tablet"	"Oral"	"Pericyazine"	"10.000mg"	"4020100"	"Pericyazine"	"Oral"
"1067041000033110"	"Pericyazine 2.5mg tablets"	"Tablet"	"Oral"	"Pericyazine"	"2.500mg"	"4020100"	"Pericyazine"	"Oral"
"1067141000033114"	"Pericyazine Tablets 25 mg"	"Tablet"	"Oral"	"Pericyazine"	"25 mg"	NA	"Pericyazine"	"Oral"
"1086741000033114"	"Piportil Depot 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50.000mg/1.000ml"	NA	"Pipotiazine"	"Injection"
"1087341000033110"	"Piportil Depot 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50.000mg/1.000ml"	NA	"Pipotiazine"	"Injection"
"1090841000033118"	"Pimozide Tablets 10 mg"	"Tablet"	"Oral"	"Pimozide"	"10 mg"	NA	"Pimozide"	"Oral"
"1090941000033114"	"Pimozide 2mg tablets"	"Tablet"	"Oral"	"Pimozide"	"2.000mg"	"4020100"	"Pimozide"	"Oral"
"1091041000033116"	"Pimozide 4mg tablets"	"Tablet"	"Oral"	"Pimozide"	"4.000mg"	"4020100"	"Pimozide"	"Oral"
"1116541000033114"	"Prochlorperazine Mesylate Injection 25 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	"25 mg/2 ml"	NA	"Prochlorperazine"	"Injection"
"1116941000033115"	"Prochlorperazine Maleate Injection 12.5 mg/ml"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	"12.5 mg/ml"	NA	"Prochlorperazine"	"Injection"
"1117541000033112"	"Promazine Hydrochloride Injection 50 mg/ml"	"Solution for injection"	"Intramuscular"	"Promazine"	"50 mg/ml"	NA	"Promazine"	"Injection"
"1127741000033112"	"Prochlorperazine Maleate Spansules 10 mg"	"Modified-release capsule"	"Oral"	"Prochlorperazine"	"10 mg"	NA	"Prochlorperazine"	"Oral"
"1127841000033119"	"Prochlorperazine Maleate Spansules 15 mg"	"Modified-release capsule"	"Oral"	"Prochlorperazine"	"15 mg"	NA	"Prochlorperazine"	"Oral"
"1128641000033119"	"Prochlorperazine 25mg suppositories"	"Suppository"	"Rectal"	"Prochlorperazine"	"25.000mg"	NA	"Prochlorperazine"	"Oral"
"1128741000033111"	"Prochlorperazine 5mg suppositories"	"Suppository"	"Rectal"	"Prochlorperazine"	"5.000mg"	NA	"Prochlorperazine"	"Oral"
"1129141000033118"	"Promazine Hydrochloride Suspension 50 mg/5 ml"	"Oral solution"	"Oral"	"Promazine"	"50 mg/5 ml"	NA	"Promazine"	"Oral"
"1129641000033111"	"Promazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Promazine"	"5.000mg/1.000ml"	"4020100"	"Promazine"	"Oral"
"1130941000033113"	"Proziere 5mg tablets"	"Tablet"	"Oral"	"Prochlorperazine"	"5.000mg"	"4060000"	"Prochlorperazine"	"Oral"
"1133541000033114"	"Prochlorperazine 25mg tablets"	"Tablet"	"Oral"	"Prochlorperazine"	"25.000mg"	"4060000"	"Prochlorperazine"	"Oral"
