"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"1612"	"Lustral 50mg tablets (Pfizer Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"1712"	"Cipramil 20mg tablets (Lundbeck Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"1730"	"Trazodone 100mg capsules"	"Trazodone"	"100mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"1809"	"Imipramine 25mg tablets"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"1888"	"Amitriptyline 50mg tablets"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"1940"	"Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"2039"	"Trimipramine 25mg tablets"	"Trimipramine"	"25mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"2093"	"Gamanil 70mg tablets (Merck Serono Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"2290"	"Fluvoxamine 100mg tablets"	"Fluvoxamine"	"100mg"	"Tablet"	"Oral"	"04030300"	"Fluvoxamine"
"2320"	"Prothiaden 75mg tablets (Teofarma)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"2356"	"Reboxetine 4mg tablets"	"Reboxetine"	"4mg"	"Tablet"	"Oral"	"04030400"	"Reboxetine"
"2408"	"Cipramil 40mg tablets (Lundbeck Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"2486"	"Lentizol 25mg modified-release capsules (Pfizer Ltd)"	"Amitriptyline"	"25mg"	"Modified-release capsule"	"Oral"	"00000000"	"Amitriptyline"
"2525"	"Amitriptyline 75mg modified-release capsules"	"Amitriptyline"	"75mg"	"Modified Release Capsules"	"Oral"	"04030100/04070300"	"Amitriptyline"
"2531"	"Surmontil 50mg capsules (Sanofi)"	"Trimipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trimipramine"
"2532"	"Surmontil 25mg tablets (Sanofi)"	"Trimipramine"	"25mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"2533"	"TRIMIPRAMINE 50 MG TAB"	"Trimipramine"	NA	"Tablet"	"Oral"	"00000000"	"Trimipramine"
"2548"	"Fluoxetine 20mg/5ml oral solution"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"2579"	"Tofranil 10mg Tablet (Novartis Pharmaceuticals UK Ltd)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040200"	"Imipramine"
"2617"	"Venlafaxine 50mg tablets"	"Venlafaxine"	"50mg"	"Tablet"	"Oral"	"00000000"	"Venlafaxine"
"2654"	"Venlafaxine 150mg modified-release capsules"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"2880"	"Fluvoxamine 50mg tablets"	"Fluvoxamine"	"50mg"	"Tablet"	"Oral"	"04030300"	"Fluvoxamine"
"2883"	"Moclobemide 150mg tablets"	"Moclobemide"	"150mg"	"Tablet"	"Oral"	"04030201"	"Moclobemide"
"2897"	"Faverin 50mg tablets (Mylan)"	"Fluvoxamine"	"50mg"	"Tablet"	"Oral"	"04030300"	"Fluvoxamine"
"2936"	"Motival 10mg/500microgram tablets (Sanofi)"	"Nortriptyline"	"500microgram + 10mg"	"Tablet"	"Oral"	"00000000"	"Nortriptyline"
"2985"	"Lentizol 50mg modified-release capsules (Pfizer Ltd)"	"Amitriptyline"	"50mg"	"Modified-release capsule"	"Oral"	"00000000"	"Amitriptyline"
"3083"	"Mianserin 10mg tablets"	"Mianserin"	"10mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"3183"	"Nortriptyline 10mg tablets"	"Nortriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"3194"	"Clomipramine 10mg capsules"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"3195"	"CLOMIPRAMINE 25 MG TAB"	"Clomipramine"	NA	"Tablet"	"Oral"	"00000000"	"Clomipramine"
"3196"	"Trimipramine 50mg capsules"	"Trimipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trimipramine"
"3349"	"Nardil 15mg tablets (Kyowa Kirin Ltd)"	"Phenelzine"	"15mg"	"Tablet"	"Oral"	"04030200"	"Phenelzine"
"3351"	"Amoxapine 50mg tablets"	"Amoxapine"	"50mg"	"Tablet"	"Oral"	"00000000"	"Amoxapine"
"3353"	"L-TRYPTOPHAN 500 MG CAP"	"Tryptophan"	NA	NA	NA	"00000000"	"Tryptophan"
"3355"	"Trazodone 50mg capsules"	"Trazodone"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"3356"	"Parstelin Tablet (GlaxoSmithKline Consumer Healthcare)"	"Tranylcypromine"	NA	"Tablet"	"Oral"	"04020100/04030200"	"Tranylcypromine"
"3391"	"Dutonin 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Nefazodone"	"100mg"	"Tablet"	"Oral"	"04030300"	"Nefazodone"
"3490"	"Amitriptyline 10mg / Perphenazine 2mg tablets"	"Amitriptyline"	"10mg + 2mg"	"Tablet"	"Oral"	"00000000"	"Amitriptyline"
"3554"	"Doxepin 25mg capsules"	"Doxepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"3601"	"Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd)"	"Paroxetine"	"2mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Paroxetine"
"3652"	"Amoxapine 100mg tablets"	"Amoxapine"	"100mg"	"Tablet"	"Oral"	"04030100"	"Amoxapine"
"3657"	"Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"3668"	"IMIPRAMINE 100 MG TAB"	"Imipramine"	NA	"Tablet"	"Oral"	"00000000"	"Imipramine"
"3670"	"Clomipramine 25mg capsules"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"3771"	"AMITRIPTYLINE 75 MG TAB"	"Amitriptyline"	NA	"Tablet"	"Oral"	"00000000"	"Amitriptyline"
"3777"	"Amitriptyline 10mg/5ml sugar free oral solution"	"Amitriptyline"	"10mg/5ml"	"Oral Solution Sugar-free"	"Oral"	"04030100/04070300"	"Amitriptyline"
"3783"	"Tranylcypromine 10mg tablets"	"Tranylcypromine"	"10mg"	"Tablet"	"Oral"	"04030200"	"Tranylcypromine"
"3842"	"Doxepin 10mg capsules"	"Doxepin"	"10mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"3861"	"Cipramil 10mg tablets (Lundbeck Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"3903"	"Nortriptyline 25mg tablets"	"Nortriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"3925"	"Clomipramine 50mg capsules"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"3955"	"Tranylcypromine with trifluoperazine Tablet"	"Tranylcypromine"	NA	"Tablet"	"Oral"	"04020100/04030200"	"Tranylcypromine"
"4003"	"Molipaxin 150mg tablets (Zentiva)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"4011"	"Nefazodone 200mg tablets"	"Nefazodone"	"200mg"	"Tablet"	"Oral"	"04030300"	"Nefazodone"
"4020"	"Trazodone 150mg tablets"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"4075"	"Fluoxetine 60mg capsules"	"Fluoxetine"	"60mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"4118"	"Nortriptyline 10mg Capsule"	"Nortriptyline"	"10mg"	"Capsule"	"Oral"	"04030100/04070300"	"Nortriptyline"
"4194"	"Molipaxin 100mg capsules (Zentiva)"	"Trazodone"	"100mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"4218"	"Lofepramine 70mg/5ml oral suspension sugar free"	"Lofepramine"	"14mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Lofepramine"
"4297"	"Dutonin 200mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Nefazodone"	"200mg"	"Tablet"	"Oral"	"04030300"	"Nefazodone"
"4310"	"Trimipramine 10mg tablets"	"Trimipramine"	"10mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"4321"	"Phenelzine 15mg tablets"	"Phenelzine"	"15mg"	"Tablet"	"Oral"	"04030200"	"Phenelzine"
"4329"	"Mianserin 20mg tablets"	"Mianserin"	"20mg"	"Tablet"	"Oral"	"00000000"	"Mianserin"
"4352"	"Lustral 100mg tablets (Pfizer Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"4404"	"Tofranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)"	"Imipramine"	"5mg/1ml"	"Oral solution"	"Oral"	"00000000"	"Imipramine"
"4411"	"Amoxapine 150mg tablets"	"Amoxapine"	"150mg"	"Tablets"	"Oral"	"04030100"	"Amoxapine"
"4422"	"Tryptophan 500mg tablets"	"Tryptophan"	"500mg"	"Tablet"	"Oral"	"04030400"	"Tryptophan"
"4554"	"Nefazodone 100mg tablets"	"Nefazodone"	"100mg"	"Tablet"	"Oral"	"04030300"	"Nefazodone"
"4595"	"DOTHIEPIN HCl 100 MG SYR"	"Dosulepin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Dosulepin"
"4682"	"Amitriptyline 50mg modified-release capsules"	"Amitriptyline"	"50mg"	"Modified-release capsule"	"Oral"	"00000000"	"Amitriptyline"
"4690"	"Amitriptyline 50mg/5ml oral solution sugar free"	"Amitriptyline"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"4726"	"Zispin 30mg tablets (Organon Laboratories Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"4770"	"Citalopram 40mg tablets"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"4874"	"Molipaxin 50mg capsules (Zentiva)"	"Trazodone"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"4907"	"Prozac 60mg capsules (Eli Lilly and Company Ltd)"	"Fluoxetine"	"60mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"5073"	"Doxepin 50mg capsules"	"Doxepin"	"50mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"5187"	"Moclobemide 300mg tablets"	"Moclobemide"	"300mg"	"Tablet"	"Oral"	"04030201"	"Moclobemide"
"5190"	"Doxepin 5% cream"	"Doxepin"	"50mg/1gram"	"Cream"	"Cutaneous"	"13030000"	"Doxepin"
"5611"	"Optimax 500mg tablets (Intrapharm Laboratories Ltd)"	"Tryptophan"	"500mg"	"Tablet"	"Oral"	"04030400"	"Tryptophan"
"5710"	"Efexor XL 150mg capsules (Pfizer Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"5832"	"Manerix 300mg tablets (Meda Pharmaceuticals Ltd)"	"Moclobemide"	"300mg"	"Tablet"	"Oral"	"04030201"	"Moclobemide"
"6054"	"Dosulepin 25mg/5ml oral solution sugar free"	"Dosulepin"	"25mg/5ml"	"Oral Solution Sugar-free"	"Oral"	"04030100"	"Dosulepin"
"6218"	"Escitalopram 20mg tablets"	"Escitalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"6255"	"Mianserin 30mg tablets"	"Mianserin"	"30mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"6274"	"Efexor 50mg tablets (Wyeth Pharmaceuticals)"	"Venlafaxine"	"50mg"	"Tablet"	"Oral"	"00000000"	"Venlafaxine"
"6312"	"Amitriptyline 25mg/5ml oral solution sugar free"	"Amitriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"6360"	"Cipralex 20mg tablets (Lundbeck Ltd)"	"Escitalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"6405"	"Escitalopram 5mg tablets"	"Escitalopram"	"5mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"6421"	"Mirtazapine 15mg orodispersible tablets"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"6442"	"Trazodone 50mg/5ml oral solution sugar free"	"Trazodone"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"6481"	"Mirtazapine 45mg orodispersible tablets"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"6488"	"Mirtazapine 30mg orodispersible tablets"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"6795"	"Mirtazapine 15mg tablets"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"6846"	"Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"6854"	"Mirtazapine 45mg tablets"	"Mirtazapine"	"45mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"6894"	"Perphenazine 2mg with Amitriptyline 25mg tablet"	"Amitriptyline"	"2mg + 25mg"	"Tablets"	"Oral"	"04020100/04030100"	"Amitriptyline"
"6895"	"Duloxetine 60mg gastro-resistant capsules"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"7059"	"Doxepin 75mg capsules"	"Doxepin"	"75mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"7122"	"Duloxetine 30mg gastro-resistant capsules"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"7147"	"Duloxetine 40mg gastro-resistant capsules"	"Duloxetine"	"40mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"7153"	"Duloxetine 20mg gastro-resistant capsules"	"Duloxetine"	"20mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"7328"	"Sertraline 50mg/5ml oral suspension"	"Sertraline"	"10mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"7443"	"DOTHIEPIN 25 MG SYR"	"Dosulepin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Dosulepin"
"7468"	"Bolvidon 10mg Tablet (Organon Laboratories Ltd)"	"Mianserin"	"10mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"7475"	"AMOXAPINE 25 MG TAB"	"Amoxapine"	NA	"Tablet"	"Oral"	"00000000"	"Amoxapine"
"7515"	"Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"7573"	"IMIPRAMINE 25 MG CAP"	"Imipramine"	NA	NA	NA	"00000000"	"Imipramine"
"7677"	"Allegron 10mg tablets (King Pharmaceuticals Ltd)"	"Nortriptyline"	"10mg"	"Tablet"	"Oral"	"04030100"	"Nortriptyline"
"7678"	"Nortriptyline 25mg Capsule"	"Nortriptyline"	"25mg"	"Capsule"	"Oral"	"04030100/04070300"	"Nortriptyline"
"7693"	"Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"7751"	"Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"7780"	"Nortriptyline 10mg / Fluphenazine 500microgram tablets"	"Nortriptyline"	"500microgram + 10mg"	"Tablet"	"Oral"	"00000000"	"Nortriptyline"
"7784"	"IMIPRAMINE 50 MG TAB"	"Imipramine"	NA	"Tablet"	"Oral"	"00000000"	"Imipramine"
"7894"	"Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Clomipramine"	"75mg"	"Modified-release tablet"	"Oral"	"04030100"	"Clomipramine"
"7910"	"Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100"	"Imipramine"
"7920"	"DOTHIEPIN HCl 75 MG MIX"	"Dosulepin"	NA	NA	NA	"00000000"	"Dosulepin"
"8055"	"Imipramine 25mg/5ml oral solution"	"Imipramine"	"5mg/1ml"	"Oral solution"	"Oral"	"00000000"	"Imipramine"
"8144"	"Bolvidon 20mg Tablet (Organon Laboratories Ltd)"	"Mianserin"	"20mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"8174"	"Molipaxin 50mg/5ml oral liquid (Sanofi)"	"Trazodone"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"8250"	"AMITRIPTYLINE S/F 25 MG/5ML SYR"	"Amitriptyline"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Amitriptyline"
"8332"	"Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"8493"	"Motipress tablets (Sanofi-Synthelabo Ltd)"	"Nortriptyline"	"30mg + 1.5mg"	"Tablet"	"Oral"	"00000000"	"Nortriptyline"
"8549"	"Maprotiline 25mg tablets"	"Maprotiline"	"25mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"8585"	"Bolvidon 30mg Tablet (Organon Laboratories Ltd)"	"Mianserin"	"30mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"8640"	"Allegron 25mg tablets (King Pharmaceuticals Ltd)"	"Nortriptyline"	"25mg"	"Tablet"	"Oral"	"04030100"	"Nortriptyline"
"8661"	"Clomipramine 75mg modified-release tablets"	"Clomipramine"	"75mg"	"Modified-release tablet"	"Oral"	"04030100"	"Clomipramine"
"8719"	"Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)"	"Clomipramine"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Clomipramine"
"8720"	"Clomipramine 25mg/5ml oral solution"	"Clomipramine"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Clomipramine"
"8726"	"Tryptizol 10mg Tablet (Merck Sharp & Dohme Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"8831"	"Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd)"	"Amitriptyline"	"75mg"	"Modified-release Capsule"	"Oral"	"04030100/04070300"	"Amitriptyline"
"8844"	"Tryptophan with ascorbic acid and pyridoxine powder"	"Tryptophan"	NA	"Powder"	"Oral"	"04030400"	"Tryptophan"
"8878"	"Tryptizol 10mg/5ml sugar free Oral solution (Merck Sharp and Dohme Ltd)"	"Amitriptyline"	"10mg/5ml"	"Oral Solution"	"Oral"	"04030100/04070300"	"Amitriptyline"
"8928"	"Surmontil 10mg tablets (Sanofi)"	"Trimipramine"	"10mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"9182"	"Efexor 75mg tablets (Wyeth Pharmaceuticals)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"9206"	"Manerix 150mg tablets (Meda Pharmaceuticals Ltd)"	"Moclobemide"	"150mg"	"Tablet"	"Oral"	"04030201"	"Moclobemide"
"9534"	"Nefazodone Starter pack"	"Nefazodone"	NA	"Starter Pack"	"Oral"	"04030400"	"Nefazodone"
"9558"	"Xepin 5% Cream (Bioglan Laboratories Ltd)"	"Doxepin"	"50mg/1gram"	"Cream"	"Cutaneous"	"13030000"	"Doxepin"
"10083"	"Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"10413"	"Sinequan 10mg capsules (Pfizer Ltd)"	"Doxepin"	"10mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"10645"	"Ludiomil 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Maprotiline"	"25mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"10649"	"IMIPRAMINE 75 MG TAB"	"Imipramine"	NA	"Tablet"	"Oral"	"00000000"	"Imipramine"
"10787"	"Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Tranylcypromine"	"10mg"	"Tablet"	"Oral"	"04030200"	"Tranylcypromine"
"10948"	"Dosulepin 75mg/5ml oral solution sugar free"	"Dosulepin"	"75mg/5ml"	"Oral Solution Sugar-free"	"Oral"	"04030100"	"Dosulepin"
"11956"	"Norval 20mg Tablet (Bencard)"	"Mianserin"	"20mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"11963"	"Limbitrol 10 Capsule (Roche Products Ltd)"	"Amitriptyline"	NA	"Capsule"	"Oral"	"04030100"	"Amitriptyline"
"12033"	"DOTHIEPIN HCl 25 MG MIX"	"Dosulepin"	NA	NA	NA	"00000000"	"Dosulepin"
"12100"	"Maprotiline 50mg tablets"	"Maprotiline"	"50mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"12123"	"Faverin 100mg tablets (Mylan)"	"Fluvoxamine"	"100mg"	"Tablet"	"Oral"	"04030300"	"Fluvoxamine"
"12125"	"Sinequan 50mg capsules (Pfizer Ltd)"	"Doxepin"	"50mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"12129"	"Sinequan 25mg capsules (Pfizer Ltd)"	"Doxepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"12192"	"Norval 30mg Tablet (Bencard)"	"Mianserin"	"30mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"12194"	"NORTRIPTYLINE 10 MG ELI"	"Nortriptyline"	NA	NA	NA	"00000000"	"Nortriptyline"
