"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"moodstabilisers"
"2085"	"Tegretol 200mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"2388"	"Carbamazepine 200mg modified-release tablets"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"2822"	"Epilim ec 500mg Gastro-resistant tablet (Sanofi)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"2823"	"Tegretol retard 200mg Modified-release tablet (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"2824"	"Tegretol retard 400mg Modified-release tablet (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"3107"	"Epilim Chrono 500 tablets (Sanofi)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"3350"	"Sodium valproate 500mg gastro-resistant tablets"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"3352"	"Liskonum 450mg modified-release tablets (Teofarma)"	"Lithium"	"450mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"3358"	"PRIADEL 800 MG TAB"	"Lithium"	NA	"Tablet"	"Oral"	"00000000"	"Lithium"
"3359"	"Priadel 200mg modified-release tablets (Sanofi)"	"Lithium"	"200mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"3569"	"Carbamazepine 400mg modified-release tablets"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"3731"	"Epilim ec 200mg Gastro-resistant tablet (Sanofi)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"3733"	"Epilim Chrono 300 tablets (Sanofi)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"3734"	"Epilim Chrono 200 tablets (Sanofi)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"3845"	"Sodium valproate 200mg/5ml oral solution sugar free"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"3886"	"Lamotrigine 200mg tablets"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"4066"	"Tegretol 400mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"4195"	"Epilim 100mg crushable tablets (Sanofi)"	"Valproate"	"100mg"	"Tablet"	"Oral"	"04080100"	"Valproate"
"4495"	"Epilim 200mg/5ml syrup (Sanofi)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"4502"	"Sodium valproate 100mg tablets"	"Valproate"	"100mg"	"Tablet"	"Oral"	"04080100"	"Valproate"
"4586"	"Lamictal 25mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"4913"	"Tegretol 100mg/5ml liquid (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"4982"	"Carbamazepine 100mg chewable tablets sugar free"	"Carbamazepine"	"100mg"	"Chewable tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"5076"	"Lamotrigine 100mg tablets"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"5617"	"Convulex 300mg gastro-resistant capsules (Pfizer Ltd)"	"Valproic"	"300mg"	"Gastro-resistant capsule"	"Oral"	"04070402/04080100"	"Valproic"
"5658"	"Lamotrigine 25mg dispersible tablets sugar free"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"5722"	"Lamictal 100mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"5848"	"Valproic acid 250mg gastro-resistant tablets"	"Valproate/Valproic"	"250mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Valproate/Valproic"
"5907"	"Lamotrigine 100mg dispersible tablets sugar free"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"5977"	"Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"5997"	"Convulex 150mg gastro-resistant capsules (Pfizer Ltd)"	"Valproic"	"150mg"	"Gastro-resistant capsule"	"Oral"	"04070402/04080100"	"Valproic"
"6305"	"Valproic acid 500mg gastro-resistant tablets"	"Valproate/Valproic"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Valproate/Valproic"
"6409"	"Lamotrigine 2mg dispersible tablets sugar free"	"Lamotrigine"	"2mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"6560"	"Sodium valproate 500mg modified-release tablets"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"6711"	"Sodium valproate 300mg modified-release tablets"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"7011"	"Sodium valproate with valproic acid 300mg modified release tablets"	"Valproate/Valproic"	"300mg"	"Modified Release Tablet"	"Oral"	"04080100"	"Valproate/Valproic"
"7022"	"Lamictal 50mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"7023"	"Lamictal 100mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"7064"	"Depakote 250mg gastro-resistant tablets (Sanofi)"	"Valproate"	"250mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Valproate"
"8041"	"Lithium carbonate 250mg tablets"	"Lithium"	"250mg"	"Tablet"	"Oral"	"04020300"	"Lithium"
"8827"	"Lithium carbonate 300mg Modified-release tablet"	"Lithium"	"300mg"	"Modified-release Tablet"	"Oral"	"04020300"	"Lithium"
"8885"	"Orlept 500mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"9168"	"SOD VALPROATE C/R 200 MG TAB"	"Valproate"	NA	"Tablet"	"Oral"	"00000000"	"Valproate"
"9281"	"Sodium valproate with valproic acid 200mg modified release tablets"	"Valproate/Valproic"	"200mg"	"Modified Release Tablet"	"Oral"	"04080100"	"Valproate/Valproic"
"9759"	"Depakote 500mg gastro-resistant tablets (Sanofi)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Valproate"
"10111"	"Lamictal 200mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"10809"	"Priadel 520mg/5ml liquid (Sanofi)"	"Lithium"	"104mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Lithium"
"10937"	"Lithium citrate 509mg/5ml oral solution"	"Lithium"	"101.8mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Lithium"
"11075"	"Sodium valproate with valproic acid 500mg modified release tablets"	"Valproate/Valproic"	"500mg"	"Modified Release Tablet"	"Oral"	"04080100"	"Valproate/Valproic"
"11445"	"Lamictal 25mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"11491"	"Lithium citrate 520mg/5ml oral solution sugar free"	"Lithium"	"104mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Lithium"
"11696"	"Carbamazepine 200mg chewable tablets sugar free"	"Carbamazepine"	"200mg"	"Chewable tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"12402"	"Camcolit 250 tablets (Essential Pharma Ltd)"	"Lithium"	"250mg"	"Tablet"	"Oral"	"04020300"	"Lithium"
"12403"	"Camcolit 400 modified-release tablets (Essential Pharma Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"12648"	"Lithium citrate 1.018g/5ml oral solution"	"Lithium"	"203.6mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Lithium"
"12880"	"Tegretol 200mg Chewtabs (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Chewable tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"12931"	"Epimaz Retard 200mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Carbamazepine"
"12932"	"Epimaz 100mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"13112"	"Carbagen SR 200mg tablets (Mylan)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"13524"	"Tegretol 100mg Chewtabs (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Chewable tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"13601"	"Lithium citrate 564mg modified-release tablets"	"Lithium"	"564mg"	"Modified-release tablet"	"Oral"	"00000000"	"Lithium"
"13654"	"Litarex 564mg modified-release tablets (Actavis UK Ltd)"	"Lithium"	"564mg"	"Modified-release tablet"	"Oral"	"00000000"	"Lithium"
"14954"	"Lithium carbonate 450mg modified-release tablets"	"Lithium"	"450mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"15082"	"Tegretol 250mg suppositories (Essential Pharma Ltd)"	"Carbamazepine"	"250mg"	"Suppository"	"Rectal"	"04080100"	"Carbamazepine"
"15126"	"Lamictal 5mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"15388"	"Phasal 300mg Tablet (Lagap)"	"Lithium"	"300mg"	"Tablet"	"Oral"	"04020300"	"Lithium"
"15650"	"Valproic acid 300mg gastro-resistant capsules"	"Valproic"	"300mg"	"Gastro-resistant capsule"	"Oral"	"04070402/04080100"	"Valproic"
"16021"	"Valproic acid 500mg gastro-resistant capsules"	"Valproic"	"500mg"	"Gastro-resistant capsule"	"Oral"	"04070402/04080100"	"Valproic"
"16149"	"Lamotrigine 50mg dispersible tablets sugar free"	"Lamotrigine"	"50mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"16250"	"Lithonate 400mg modified-release tablets (Teva UK Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"00000000"	"Lithium"
"16609"	"Sodium valproate 400mg powder and solvent for solution for injection vials"	"Valproate"	"400mg"	"Powder and solvent for solution for injection"	"Intravenous"	"04080100"	"Valproate"
"17152"	"Orlept 200mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"17428"	"Carbamazepine 250mg suppositories"	"Carbamazepine"	"250mg"	"Suppository"	"Rectal"	"04080100"	"Carbamazepine"
"17429"	"Carbamazepine 125mg suppositories"	"Carbamazepine"	"125mg"	"Suppository"	"Rectal"	"04080100"	"Carbamazepine"
"17978"	"Teril Retard 200mg tablets (Taro Pharmaceuticals (UK) Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Carbamazepine"
"18011"	"Teril Retard 400mg tablets (Taro Pharmaceuticals (UK) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100"	"Carbamazepine"
"18614"	"Valproic acid 150mg gastro-resistant capsules"	"Valproic"	"150mg"	"Gastro-resistant capsule"	"Oral"	"04070402/04080100"	"Valproic"
"18762"	"Epimaz 200mg tablets (Teva UK Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"18763"	"Epimaz 400mg tablets (Teva UK Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"18886"	"Convulex 500mg gastro-resistant capsules (Pfizer Ltd)"	"Valproic"	"500mg"	"Gastro-resistant capsule"	"Oral"	"04070402/04080100"	"Valproic"
"19296"	"Lamictal 2mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"2mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"20004"	"Epilim Intravenous 400mg powder and solvent for solution for injection vials (Sanofi)"	"Valproate"	"400mg"	"Powder and solvent for solution for injection"	"Intravenous"	"04080100"	"Valproate"
"21441"	"Tegretol 125mg suppositories (Essential Pharma Ltd)"	"Carbamazepine"	"125mg"	"Suppository"	"Rectal"	"04080100"	"Carbamazepine"
"22018"	"Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Lithium"	"101.8mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Lithium"
"24153"	"Orlept SF 200mg/5ml liquid (Wockhardt UK Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"25344"	"Lithium carbonate 400mg Modified-release tablet (Approved Prescription Services Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"25345"	"Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Lithium"	"203.6mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Lithium"
"26012"	"Carbagen SR 400mg tablets (Mylan)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"27221"	"LAMICTAL NON-VALPROATE ADD-ON START PACK TAB 25 mg"	"Valproate/Lamotrigine"	NA	"Tablet"	"Oral"	"00000000"	"Valproate/Lamotrigine"
"28345"	"Carbamazepine 100mg tablets (Teva UK Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"29619"	"Lamotrigine 25mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"29620"	"Lamotrigine 100mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"30081"	"Sodium valproate CR 500mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Valproate"	"500mg"	"Tablet"	"Oral"	"04080100"	"Valproate"
"30509"	"Timonil retard 400mg Modified-release tablet (C P Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"30763"	"Carbamazepine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"32900"	"Carbamazepine sr 200mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"32920"	"Lamotrigine 25mg tablets (Mylan)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"32931"	"Carbamazepine 400mg tablets (Teva UK Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"33058"	"Epival CR 500mg tablets (Chanelle Medical UK Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"33106"	"Sodium valproate 200mg/5ml Oral solution (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"34120"	"Sodium valproate 200mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34150"	"Valproate sodium 200mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34151"	"Valproate sodium 500mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34178"	"Sodium valproate 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34370"	"Carbamazepine 200mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"34414"	"Sodium valproate 200mg Tablet (Sterwin Medicines)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34626"	"Sodium valproate 200mg gastro-resistant tablets (Mylan)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34632"	"Sodium valproate 200mg gastro-resistant tablets (Teva UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34707"	"Sodium valproate 200mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"34883"	"Sodium valproate 200mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"34904"	"Carbamazepine 200mg tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"34958"	"Carbamazepine 100mg Tablet (Berk Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"35024"	"Sodium valproate 300mg modified-release capsules"	"Valproate"	"300mg"	"Modified-release capsule"	"Oral"	"04080100"	"Valproate"
"35471"	"Sodium valproate 150mg modified-release capsules"	"Valproate"	"150mg"	"Modified-release capsule"	"Oral"	"04080100"	"Valproate"
"35732"	"Lamotrigine 25mg dispersible tablets sugar free (Arrow Generics Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"35747"	"Episenta 300mg modified-release capsules (Desitin Pharma Ltd)"	"Valproate"	"300mg"	"Modified-release capsule"	"Oral"	"04080100"	"Valproate"
"35755"	"Sodium valproate 500mg modified-release granules sachets sugar free"	"Valproate"	"500mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"36318"	"Sodium valproate 1g modified-release granules sachets sugar free"	"Valproate"	"1gram"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"36633"	"Episenta 150mg modified-release capsules (Desitin Pharma Ltd)"	"Valproate"	"150mg"	"Modified-release capsule"	"Oral"	"04080100"	"Valproate"
"36634"	"Episenta 1000mg modified-release granules sachets (Desitin Pharma Ltd)"	"Valproate"	"1gram"	"Modified-release granules"	"Oral"	"04020300/04080100"	"Valproate"
"37058"	"Carbamazepine 500mg/5ml oral suspension"	"Carbamazepine"	"100mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"37306"	"Sodium valproate 200mg/5ml Oral solution (Sterwin Medicines)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"37584"	"Episenta 500mg modified-release granules sachets (Desitin Pharma Ltd)"	"Valproate"	"500mg"	"Modified-release granules"	"Oral"	"04020300/04080100"	"Valproate"
"37611"	"Epival CR 300mg tablets (Chanelle Medical UK Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"37800"	"Carbamazepine 200mg Modified-release tablet (Lagap)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"38507"	"Epilim Chronosphere MR 100mg granules sachets (Sanofi)"	"Valproate"	"100mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"38508"	"Epilim Chronosphere MR 250mg granules sachets (Sanofi)"	"Valproate"	"250mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"38939"	"Epilim 200 gastro-resistant tablets (Sanofi)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"38949"	"Epilim 500 gastro-resistant tablets (Sanofi)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"39039"	"Sodium valproate 200mg modified-release tablets"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"39276"	"Sodium valproate with valproic acid 250mg modified release granules"	"Valproate/Valproic"	"250mg"	"Modified Release Granules"	"Oral"	"04080100"	"Valproate/Valproic"
"39279"	"Epilim Chronosphere MR 500mg granules sachets (Sanofi)"	"Valproate"	"500mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"39427"	"Sodium valproate with valproic acid 750mg modified release granules"	"Valproate/Valproic"	"750mg"	"Modified Release Granules"	"Oral"	"04080100"	"Valproate/Valproic"
"39452"	"Sodium valproate with valproic acid 500mg modified release granules"	"Valproate/Valproic"	"500mg"	"Modified Release Granules"	"Oral"	"04080100"	"Valproate/Valproic"
"39506"	"Lamotrigine 50mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"39550"	"Epilim Chronosphere MR 750mg granules sachets (Sanofi)"	"Valproate"	"750mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"39714"	"Lamotrigine 25mg tablets (Teva UK Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"39715"	"Lamotrigine 100mg tablets (Teva UK Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"39930"	"Epilim Chronosphere MR 50mg granules sachets (Sanofi)"	"Valproate"	"50mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"40070"	"Sodium valproate 300mg/3ml solution for injection ampoules"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"04080100"	"Valproate"
"40395"	"Sodium valproate 100mg tablets (Mylan)"	"Valproate"	"100mg"	"Tablet"	"Oral"	"04080100"	"Valproate"
"40400"	"Sodium valproate 500mg Gastro-resistant tablet (C P Pharmaceuticals Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"40403"	"Carbamazepine 400mg Modified-release tablet (Lagap)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"40404"	"Carbamazepine 400mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"41137"	"Sodium valproate with valproic acid 100mg modified release granules"	"Valproate/Valproic"	"100mg"	"Modified Release Granules"	"Oral"	"04080100"	"Valproate/Valproic"
"41726"	"Carbamazepine 100mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"42038"	"Epilim Chronosphere MR 1000mg granules sachets (Sanofi)"	"Valproate"	"1gram"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"42090"	"Sodium valproate 200mg/5ml oral solution sugar free (Zentiva)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"43178"	"Sodium valproate with valproic acid 1000mg modified release granules"	"Valproate/Valproic"	"1000mg"	"Modified Release Granules"	"Oral"	"04080100"	"Valproate/Valproic"
"43387"	"Sodium valproate with valproic acid 50mg modified release granules"	"Valproate/Valproic"	"50mg"	"Modified Release Granules"	"Oral"	"04080100"	"Valproate/Valproic"
"43417"	"Carbamazepine 400mg tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"43451"	"Carbamazepine 400mg Modified-release tablet (Generics (UK) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"43648"	"Sodium valproate oral solution"	"Valproate"	NA	"Oral Liquid"	"Oral"	"04080100"	"Valproate"
"43742"	"Sodium valproate 1g/10ml solution for injection ampoules"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"04080100"	"Valproate"
"44472"	"Sodium valproate 100mg modified-release granules sachets sugar free"	"Valproate"	"100mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"44718"	"Sodium valproate 750mg modified-release granules sachets sugar free"	"Valproate"	"750mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"44903"	"Sodium valproate 500mg gastro-resistant tablets (Zentiva)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
